transaction_id,customer_id,product_id,date,quantity
T00120,C168,P030,2025-11-09,1
T00121,C114,P021,2025-02-02,1
T00122,C326,P027,2025-08-26,1
T00123,C466,P023,2025-06-04,1
T00124,C333,P014,2025-03-01,1
T00125,C072,P002,2025-01-20,1
T00126,C156,P016,2025-03-01,1
T00126,C156,P017,2025-03-01,1
T00127,C199,P015,2025-07-09,1
T00128,C344,P024,2025-12-23,1
T00129,C485,P018,2025-08-03,1
T00130,C301,P024,2025-03-21,1
T00131,C454,P014,2025-12-02,1
T00132,C051,P027,2025-09-08,1
T00133,C316,P014,2025-05-24,1
T00134,C017,P023,2025-07-09,1
T00135,C112,P015,2025-08-16,1
T00136,C487,P008,2025-07-05,1
T00137,C051,P022,2025-07-08,1
T00138,C331,P012,2025-02-01,1
T00139,C204,P009,2025-04-08,1
T00140,C496,P004,2025-08-21,1
T00141,C047,P022,2025-04-19,1
T00142,C306,P001,2025-01-26,1
T00143,C125,P005,2025-10-17,1
T00143,C125,P010,2025-10-17,1
T00144,C107,P019,2025-04-21,1
T00145,C120,P011,2025-03-17,1
T00146,C306,P001,2025-05-22,1
T00147,C075,P005,2025-10-04,1
T00147,C075,P007,2025-10-04,1
T00148,C057,P022,2025-01-14,1
T00148,C057,P024,2025-01-14,1
T00149,C405,P026,2025-05-02,1
T00150,C302,P011,2025-01-09,1
T00150,C302,P012,2025-01-09,1
T00151,C065,P024,2025-08-04,1
T00152,C270,P004,2025-02-02,1
T00153,C244,P015,2025-07-05,1
T00154,C263,P019,2025-02-25,1
T00155,C114,P020,2025-01-23,1
T00156,C373,P026,2025-12-04,1
T00157,C267,P010,2025-08-23,1
T00158,C330,P001,2025-02-01,1
T00159,C434,P013,2025-08-07,1
T00160,C352,P004,2025-09-09,1
T00161,C365,P030,2025-08-16,1
T00162,C038,P029,2025-02-11,1
T00162,C038,P030,2025-02-11,1
T00163,C034,P005,2025-05-21,1
T00164,C300,P018,2025-12-31,1
T00165,C167,P013,2025-11-02,1
T00166,C272,P010,2025-08-21,1
T00167,C259,P020,2025-08-09,1
T00168,C051,P026,2025-12-26,1
T00169,C059,P028,2025-12-02,1
T00170,C334,P029,2025-10-10,1
T00171,C111,P014,2025-08-20,1
T00172,C455,P008,2025-07-31,1
T00173,C174,P027,2025-08-21,1
T00174,C205,P014,2025-02-18,1
T00175,C161,P014,2025-06-10,1
T00176,C341,P009,2025-07-11,1
T00177,C489,P005,2025-12-18,1
T00178,C035,P003,2025-02-13,1
T00179,C048,P014,2025-02-19,1
T00180,C382,P024,2025-07-10,1
T00181,C416,P005,2025-10-12,1
T00181,C416,P010,2025-10-12,1
T00182,C288,P011,2025-12-10,1
T00182,C288,P014,2025-12-10,1
T00183,C448,P022,2025-08-05,1
T00184,C370,P002,2025-05-28,1
T00185,C308,P010,2025-06-30,1
T00186,C054,P019,2025-09-17,1
T00186,C054,P021,2025-09-17,1
T00187,C115,P028,2025-02-25,1
T00188,C180,P028,2025-10-12,1
T00189,C189,P004,2025-05-23,1
T00190,C294,P008,2025-08-08,1
T00191,C433,P018,2025-11-15,1
T00192,C315,P022,2025-11-26,1
T00193,C312,P030,2025-12-03,1
T00194,C425,P023,2025-05-17,1
T00195,C015,P006,2025-05-20,1
T00196,C360,P025,2025-06-08,1
T00197,C180,P001,2025-04-03,1
T00198,C290,P022,2025-07-25,1
T00198,C290,P023,2025-07-25,1
T00199,C047,P024,2025-09-29,1
T00200,C111,P013,2025-08-03,1
T00201,C233,P011,2025-03-22,1
T00202,C370,P011,2025-10-18,1
T00203,C453,P002,2025-03-21,1
T00204,C081,P025,2025-11-13,1
T00204,C081,P026,2025-11-13,1
T00205,C140,P015,2025-12-05,1
T00206,C218,P016,2025-11-07,1
T00207,C140,P007,2025-09-20,1
T00208,C059,P012,2025-08-09,1
T00209,C057,P010,2025-12-14,1
T00210,C348,P019,2025-09-07,1
T00211,C158,P002,2025-04-23,1
T00212,C203,P020,2025-01-29,1
T00213,C004,P007,2025-06-04,1
T00214,C485,P007,2025-03-12,1
T00215,C392,P009,2025-05-29,1
T00216,C168,P004,2025-01-04,1
T00217,C255,P024,2025-08-09,1
T00218,C090,P005,2025-07-14,1
T00219,C118,P017,2025-10-14,1
T00220,C427,P022,2025-07-01,1
T00220,C427,P023,2025-07-01,1
T00221,C224,P001,2025-08-24,1
T00222,C442,P011,2025-10-22,1
T00223,C208,P023,2025-11-24,1
T00224,C214,P010,2025-02-28,1
T00225,C208,P001,2025-06-16,1
T00225,C208,P004,2025-06-16,1
T00226,C236,P027,2025-12-20,1
T00227,C471,P012,2025-02-15,1
T00228,C224,P028,2025-02-24,1
T00229,C125,P014,2025-10-29,1
T00230,C206,P017,2025-02-10,1
T00231,C203,P028,2025-06-08,1
T00232,C382,P011,2025-04-24,1
T00232,C382,P013,2025-04-24,1
T00233,C040,P017,2025-11-21,1
T00234,C059,P017,2025-09-19,1
T00235,C100,P029,2025-06-28,1
T00236,C491,P027,2025-11-27,1
T00237,C418,P005,2025-05-01,1
T00237,C418,P008,2025-05-01,1
T00238,C102,P006,2025-11-05,1
T00239,C079,P025,2025-12-02,1
T00239,C079,P027,2025-12-02,1
T00240,C238,P025,2025-10-16,1
T00241,C230,P022,2025-10-17,1
T00242,C320,P011,2025-11-18,1
T00242,C320,P015,2025-11-18,1
T00243,C035,P016,2025-08-15,1
T00244,C408,P009,2025-10-30,1
T00245,C029,P012,2025-09-17,1
T00246,C038,P010,2025-08-25,1
T00247,C232,P002,2025-01-30,1
T00248,C189,P027,2025-05-27,1
T00249,C040,P021,2025-02-16,1
T00250,C315,P020,2025-09-17,1
T00251,C197,P015,2025-10-25,1
T00252,C284,P026,2025-01-22,1
T00253,C231,P030,2025-10-20,1
T00254,C334,P007,2025-06-14,1
T00255,C310,P016,2025-09-14,1
T00255,C310,P017,2025-09-14,1
T00256,C231,P004,2025-06-25,1
T00257,C366,P003,2025-09-16,1
T00258,C331,P006,2025-01-21,1
T00259,C127,P023,2025-08-13,1
T00260,C225,P017,2025-09-25,1
T00261,C313,P006,2025-07-06,1
T00262,C191,P030,2025-05-25,1
T00263,C199,P014,2025-06-23,1
T00264,C348,P020,2025-01-27,1
T00265,C405,P021,2025-11-28,1
T00266,C172,P003,2025-06-18,1
T00267,C049,P018,2025-12-14,1
T00268,C198,P010,2025-05-10,1
T00269,C371,P028,2025-12-03,1
T00270,C494,P030,2025-11-05,1
T00271,C448,P005,2025-06-20,1
T00271,C448,P007,2025-06-20,1
T00272,C470,P012,2025-06-08,1
T00273,C496,P021,2025-12-24,1
T00274,C340,P013,2025-03-08,1
T00275,C305,P023,2025-02-13,1
T00276,C159,P018,2025-07-12,1
T00277,C330,P026,2025-06-18,1
T00278,C417,P005,2025-12-10,1
T00279,C485,P024,2025-12-17,1
T00280,C468,P017,2025-02-17,1
T00281,C331,P022,2025-08-05,1
T00282,C010,P012,2025-06-08,1
T00283,C093,P007,2025-06-24,1
T00284,C486,P025,2025-09-06,1
T00284,C486,P026,2025-09-06,1
T00285,C080,P003,2025-06-01,1
T00286,C433,P026,2025-02-21,1
T00287,C260,P025,2025-10-04,1
T00288,C453,P017,2025-01-20,1
T00289,C339,P011,2025-11-13,1
T00289,C339,P015,2025-11-13,1
T00290,C079,P006,2025-04-03,1
T00291,C426,P023,2025-11-16,1
T00292,C415,P029,2025-03-26,1
T00293,C023,P014,2025-07-06,1
T00294,C347,P024,2025-05-02,1
T00295,C497,P015,2025-11-09,1
T00296,C146,P025,2025-08-18,1
T00296,C146,P026,2025-08-18,1
T00297,C159,P026,2025-08-29,1
T00298,C463,P027,2025-04-10,1
T00299,C189,P022,2025-10-20,1
T00300,C237,P025,2025-05-25,1
T00301,C258,P017,2025-08-03,1
T00302,C495,P006,2025-04-13,1
T00303,C411,P020,2025-03-12,1
T00304,C447,P009,2025-01-27,1
T00305,C329,P016,2025-07-10,1
T00306,C053,P023,2025-09-22,1
T00307,C436,P004,2025-05-26,1
T00308,C043,P025,2025-03-24,1
T00308,C043,P026,2025-03-24,1
T00309,C426,P014,2025-02-16,1
T00310,C485,P030,2025-04-24,1
T00311,C419,P015,2025-06-28,1
T00312,C477,P001,2025-08-01,1
T00312,C477,P004,2025-08-01,1
T00313,C192,P008,2025-07-17,1
T00314,C042,P012,2025-04-25,1
T00315,C015,P011,2025-02-20,1
T00316,C333,P011,2025-03-16,1
T00316,C333,P014,2025-03-16,1
T00317,C470,P027,2025-08-30,1
T00318,C357,P027,2025-03-13,1
T00319,C389,P023,2025-08-29,1
T00320,C230,P020,2025-01-03,1
T00321,C464,P003,2025-01-10,1
T00322,C132,P007,2025-03-18,1
T00323,C281,P024,2025-11-08,1
T00324,C271,P014,2025-02-26,1
T00325,C398,P010,2025-05-02,1
T00326,C155,P004,2025-01-25,1
T00327,C123,P014,2025-11-24,1
T00328,C407,P020,2025-08-23,1
T00329,C033,P004,2025-09-13,1
T00330,C306,P018,2025-01-09,1
T00331,C324,P017,2025-10-22,1
T00332,C124,P023,2025-03-15,1
T00333,C150,P014,2025-01-01,1
T00334,C315,P012,2025-05-04,1
T00335,C293,P014,2025-04-06,1
T00336,C341,P022,2025-02-13,1
T00337,C185,P003,2025-09-27,1
T00338,C279,P017,2025-09-17,1
T00339,C284,P001,2025-07-19,1
T00340,C023,P021,2025-07-18,1
T00341,C192,P009,2025-01-09,1
T00342,C183,P026,2025-02-04,1
T00343,C177,P008,2025-12-03,1
T00344,C322,P004,2025-10-25,1
T00345,C377,P025,2025-06-20,1
T00345,C377,P027,2025-06-20,1
T00346,C280,P011,2025-11-26,1
T00346,C280,P015,2025-11-26,1
T00347,C357,P016,2025-11-20,1
T00347,C357,P017,2025-11-20,1
T00348,C033,P023,2025-08-23,1
T00349,C019,P010,2025-04-14,1
T00350,C023,P026,2025-04-13,1
T00351,C454,P002,2025-06-11,1
T00352,C478,P010,2025-09-21,1
T00353,C204,P027,2025-10-06,1
T00354,C243,P009,2025-01-19,1
T00355,C386,P021,2025-04-08,1
T00356,C147,P012,2025-01-25,1
T00357,C444,P021,2025-06-19,1
T00358,C140,P004,2025-07-08,1
T00359,C224,P029,2025-07-24,1
T00360,C459,P013,2025-06-23,1
T00361,C499,P006,2025-09-12,1
T00362,C355,P016,2025-07-08,1
T00363,C266,P009,2025-02-12,1
T00364,C373,P014,2025-02-10,1
T00365,C221,P020,2025-04-03,1
T00366,C280,P010,2025-06-14,1
T00367,C053,P003,2025-06-17,1
T00368,C339,P010,2025-06-06,1
T00369,C229,P020,2025-08-07,1
T00370,C086,P023,2025-08-16,1
T00371,C180,P015,2025-01-22,1
T00372,C373,P028,2025-06-30,1
T00373,C315,P014,2025-05-21,1
T00374,C328,P026,2025-01-30,1
T00375,C039,P022,2025-11-23,1
T00376,C263,P026,2025-12-14,1
T00377,C082,P001,2025-03-15,1
T00378,C348,P026,2025-08-13,1
T00379,C018,P005,2025-02-04,1
T00379,C018,P008,2025-02-04,1
T00380,C186,P013,2025-10-18,1
T00381,C017,P020,2025-03-20,1
T00382,C348,P015,2025-07-09,1
T00383,C191,P015,2025-02-09,1
T00384,C294,P005,2025-09-29,1
T00385,C161,P021,2025-05-23,1
T00386,C128,P004,2025-01-14,1
T00387,C377,P006,2025-09-13,1
T00388,C266,P013,2025-10-15,1
T00389,C061,P009,2025-05-14,1
T00390,C361,P015,2025-04-20,1
T00391,C314,P010,2025-12-22,1
T00392,C470,P016,2025-04-13,1
T00392,C470,P017,2025-04-13,1
T00393,C232,P006,2026-01-01,1
T00394,C228,P003,2025-12-16,1
T00395,C496,P028,2025-06-13,1
T00396,C342,P012,2025-12-30,1
T00397,C034,P018,2025-10-05,1
T00398,C149,P029,2025-06-03,1
T00399,C365,P023,2025-12-25,1
T00400,C327,P006,2025-07-05,1
T00401,C261,P008,2025-03-04,1
T00402,C103,P026,2025-03-13,1
T00403,C122,P026,2025-09-10,1
T00404,C014,P012,2025-10-11,1
T00405,C294,P012,2025-08-28,1
T00406,C412,P018,2025-03-08,1
T00407,C314,P029,2025-02-14,1
T00407,C314,P030,2025-02-14,1
T00408,C368,P024,2025-09-03,1
T00409,C270,P014,2025-07-29,1
T00410,C422,P019,2025-02-07,1
T00410,C422,P021,2025-02-07,1
T00411,C329,P003,2025-08-19,1
T00412,C239,P022,2025-09-22,1
T00412,C239,P023,2025-09-22,1
T00413,C394,P005,2025-08-10,1
T00414,C445,P002,2025-03-05,1
T00415,C266,P005,2025-06-05,1
T00415,C266,P008,2025-06-05,1
T00416,C479,P023,2025-04-26,1
T00417,C178,P017,2025-05-26,1
T00418,C434,P003,2025-05-09,1
T00419,C101,P021,2025-10-10,1
T00420,C141,P005,2025-11-17,1
T00420,C141,P010,2025-11-17,1
T00421,C048,P017,2025-11-25,1
T00422,C087,P019,2025-10-25,1
T00422,C087,P021,2025-10-25,1
T00423,C432,P030,2025-10-16,1
T00424,C022,P027,2025-01-15,1
T00425,C042,P002,2025-11-25,1
T00426,C395,P019,2025-05-16,1
T00427,C393,P019,2025-08-02,1
T00428,C016,P016,2025-11-18,1
T00429,C329,P010,2025-09-05,1
T00430,C126,P026,2025-12-17,1
T00431,C208,P010,2025-08-21,1
T00432,C038,P023,2025-01-31,1
T00433,C081,P015,2025-08-01,1
T00434,C248,P015,2025-04-15,1
T00435,C175,P020,2025-03-15,1
T00436,C161,P028,2025-06-13,1
T00437,C376,P028,2025-06-26,1
T00438,C500,P013,2025-03-08,1
T00439,C390,P012,2025-09-21,1
T00440,C288,P004,2025-06-13,1
T00441,C124,P015,2025-03-04,1
T00442,C137,P015,2025-05-07,1
T00443,C073,P004,2025-01-26,1
T00444,C149,P013,2025-11-12,1
T00445,C215,P008,2025-03-23,1
T00446,C417,P011,2025-10-23,1
T00447,C098,P025,2025-03-23,1
T00448,C264,P015,2025-09-13,1
T00449,C451,P010,2025-09-12,1
T00450,C012,P003,2025-07-21,1
T00451,C259,P015,2025-05-04,1
T00452,C111,P019,2025-06-30,1
T00452,C111,P021,2025-06-30,1
T00453,C254,P020,2025-12-01,1
T00454,C345,P016,2025-05-27,1
T00455,C434,P004,2025-08-09,1
T00456,C069,P029,2025-05-16,1
T00457,C392,P013,2025-07-07,1
T00458,C024,P013,2025-01-27,1
T00459,C292,P018,2025-04-10,1
T00460,C186,P018,2025-05-28,1
T00461,C038,P013,2025-09-16,1
T00462,C231,P025,2025-10-09,1
T00462,C231,P026,2025-10-09,1
T00463,C066,P004,2025-07-21,1
T00464,C192,P026,2025-06-23,1
T00465,C286,P012,2025-03-15,1
T00466,C102,P020,2025-09-18,1
T00467,C206,P017,2025-01-21,1
T00468,C024,P002,2025-03-12,1
T00469,C366,P011,2025-08-31,1
T00470,C077,P020,2025-09-21,1
T00471,C072,P011,2025-11-10,1
T00471,C072,P015,2025-11-10,1
T00472,C316,P024,2025-06-03,1
T00473,C304,P011,2025-09-17,1
T00474,C273,P016,2025-12-29,1
T00475,C244,P027,2025-01-09,1
T00476,C189,P011,2025-12-11,1
T00476,C189,P015,2025-12-11,1
T00477,C299,P010,2025-12-19,1
T00478,C323,P001,2025-11-02,1
T00479,C496,P021,2025-10-24,1
T00480,C296,P008,2025-01-27,1
T00481,C299,P016,2025-03-29,1
T00482,C370,P020,2025-07-14,1
T00483,C076,P027,2025-12-15,1
T00484,C125,P002,2025-10-21,1
T00485,C486,P023,2025-02-26,1
T00486,C098,P001,2025-08-14,1
T00486,C098,P002,2025-08-14,1
T00487,C212,P023,2025-04-15,1
T00488,C211,P017,2025-11-10,1
T00489,C472,P016,2025-02-01,1
T00490,C266,P007,2025-10-15,1
T00491,C167,P022,2025-09-02,1
T00492,C161,P006,2025-08-24,1
T00493,C468,P018,2025-06-25,1
T00494,C280,P012,2025-12-13,1
T00495,C396,P028,2025-12-15,1
T00496,C330,P026,2025-12-21,1
T00497,C136,P020,2025-09-05,1
T00498,C099,P008,2025-05-23,1
T00499,C286,P010,2025-04-26,1
T00500,C483,P010,2025-05-28,1
T00501,C361,P007,2025-12-20,1
T00502,C361,P016,2025-06-12,1
T00503,C287,P030,2025-05-21,1
T00504,C148,P004,2025-10-21,1
T00505,C347,P018,2025-07-14,1
T00506,C459,P013,2025-06-26,1
T00507,C489,P025,2025-03-16,1
T00507,C489,P027,2025-03-16,1
T00508,C490,P023,2025-02-10,1
T00509,C178,P030,2025-08-15,1
T00510,C336,P009,2025-09-03,1
T00511,C110,P007,2025-10-03,1
T00512,C139,P030,2025-10-15,1
T00513,C357,P009,2025-03-12,1
T00514,C056,P020,2025-10-28,1
T00515,C123,P008,2025-01-26,1
T00516,C343,P029,2025-09-29,1
T00516,C343,P030,2025-09-29,1
T00517,C027,P004,2025-07-31,1
T00518,C170,P023,2025-08-30,1
T00519,C052,P022,2025-03-12,1
T00519,C052,P023,2025-03-12,1
T00520,C209,P021,2025-09-01,1
T00521,C245,P021,2025-04-13,1
T00522,C388,P010,2025-06-14,1
T00523,C147,P021,2025-01-31,1
T00524,C465,P025,2025-02-15,1
T00525,C119,P018,2025-01-20,1
T00526,C468,P030,2025-03-31,1
T00527,C214,P029,2025-04-01,1
T00528,C019,P027,2025-07-23,1
T00529,C404,P016,2025-04-06,1
T00530,C493,P028,2025-05-29,1
T00531,C449,P002,2025-01-05,1
T00532,C153,P019,2025-11-05,1
T00532,C153,P021,2025-11-05,1
T00533,C146,P015,2025-11-25,1
T00534,C279,P017,2025-09-10,1
T00535,C456,P005,2025-09-16,1
T00536,C099,P026,2025-02-27,1
T00537,C170,P006,2025-08-23,1
T00538,C332,P009,2025-04-06,1
T00539,C008,P024,2025-06-22,1
T00540,C405,P010,2025-10-18,1
T00541,C346,P025,2025-04-09,1
T00541,C346,P027,2025-04-09,1
T00542,C424,P014,2025-09-21,1
T00543,C168,P003,2025-07-25,1
T00544,C343,P004,2025-04-05,1
T00545,C072,P016,2025-06-15,1
T00546,C004,P009,2025-07-16,1
T00547,C121,P015,2025-05-17,1
T00548,C489,P011,2025-06-04,1
T00549,C294,P001,2025-05-14,1
T00550,C355,P008,2025-02-01,1
T00551,C342,P004,2025-08-27,1
T00552,C158,P006,2025-07-27,1
T00553,C352,P017,2025-12-27,1
T00554,C395,P010,2025-12-20,1
T00555,C061,P021,2025-06-01,1
T00556,C189,P020,2025-04-24,1
T00557,C113,P005,2025-09-02,1
T00557,C113,P010,2025-09-02,1
T00558,C192,P014,2025-12-26,1
T00559,C282,P030,2025-08-30,1
T00560,C388,P018,2025-12-07,1
T00561,C423,P007,2025-05-07,1
T00562,C349,P025,2025-11-02,1
T00563,C042,P017,2025-08-17,1
T00564,C271,P023,2025-07-05,1
T00565,C040,P030,2025-10-16,1
T00566,C058,P002,2025-10-08,1
T00567,C463,P017,2025-04-14,1
T00568,C294,P018,2025-03-18,1
T00569,C085,P011,2025-09-24,1
T00570,C349,P007,2025-10-26,1
T00571,C251,P003,2025-09-19,1
T00572,C229,P026,2025-01-29,1
T00573,C233,P005,2025-09-20,1
T00574,C289,P002,2025-10-14,1
T00575,C237,P022,2025-06-07,1
T00576,C203,P009,2025-01-02,1
T00577,C382,P007,2025-10-24,1
T00578,C038,P002,2025-08-05,1
T00579,C177,P023,2025-02-02,1
T00580,C278,P002,2025-02-05,1
T00581,C479,P016,2025-01-17,1
T00581,C479,P017,2025-01-17,1
T00582,C394,P005,2025-11-25,1
T00583,C331,P014,2025-07-11,1
T00584,C457,P013,2025-08-18,1
T00585,C446,P030,2025-07-13,1
T00586,C193,P003,2025-12-16,1
T00587,C494,P022,2025-10-04,1
T00587,C494,P024,2025-10-04,1
T00588,C061,P006,2025-10-03,1
T00589,C202,P017,2025-03-07,1
T00590,C373,P008,2025-01-02,1
T00591,C388,P001,2025-06-02,1
T00592,C369,P018,2025-08-06,1
T00593,C273,P013,2025-04-28,1
T00594,C127,P015,2025-06-27,1
T00595,C080,P009,2025-04-07,1
T00596,C480,P029,2025-02-27,1
T00596,C480,P030,2025-02-27,1
T00597,C315,P025,2025-01-09,1
T00597,C315,P026,2025-01-09,1
T00598,C052,P020,2025-01-18,1
T00599,C229,P020,2025-12-11,1
T00600,C361,P028,2025-01-25,1
T00601,C126,P024,2025-01-23,1
T00602,C206,P015,2025-04-30,1
T00603,C277,P007,2025-01-29,1
T00604,C072,P017,2025-05-29,1
T00605,C120,P027,2025-10-22,1
T00606,C164,P019,2025-11-03,1
T00607,C420,P011,2025-05-02,1
T00607,C420,P013,2025-05-02,1
T00608,C339,P017,2025-04-24,1
T00609,C212,P010,2025-05-21,1
T00610,C032,P018,2025-10-30,1
T00611,C451,P024,2025-03-31,1
T00612,C321,P022,2025-08-07,1
T00613,C025,P012,2025-11-26,1
T00614,C344,P013,2025-09-26,1
T00615,C164,P023,2025-08-02,1
T00616,C210,P005,2025-06-03,1
T00617,C387,P018,2025-08-31,1
T00618,C124,P028,2025-04-26,1
T00619,C154,P028,2025-12-29,1
T00620,C074,P026,2025-08-26,1
T00621,C469,P002,2025-10-15,1
T00622,C212,P014,2025-10-13,1
T00623,C272,P005,2025-07-18,1
T00623,C272,P007,2025-07-18,1
T00624,C170,P021,2025-02-10,1
T00625,C473,P015,2025-07-09,1
T00626,C048,P018,2025-04-08,1
T00627,C027,P009,2025-07-13,1
T00628,C345,P020,2025-11-05,1
T00629,C021,P028,2025-02-07,1
T00630,C097,P026,2025-10-28,1
T00631,C371,P022,2025-10-14,1
T00631,C371,P023,2025-10-14,1
T00632,C446,P030,2025-06-20,1
T00633,C156,P030,2025-01-08,1
T00634,C109,P030,2025-04-08,1
T00635,C493,P024,2025-03-02,1
T00636,C383,P025,2025-09-03,1
T00637,C357,P020,2025-12-27,1
T00638,C105,P013,2025-05-03,1
T00639,C283,P011,2025-05-25,1
T00640,C274,P021,2025-07-03,1
T00641,C158,P009,2025-07-04,1
T00642,C263,P029,2025-09-12,1
T00643,C412,P024,2025-08-29,1
T00644,C390,P027,2025-06-13,1
T00645,C469,P007,2025-07-09,1
T00646,C161,P014,2025-01-24,1
T00647,C289,P028,2025-04-24,1
T00648,C380,P005,2025-01-09,1
T00648,C380,P010,2025-01-09,1
T00649,C297,P024,2025-08-02,1
T00650,C152,P005,2025-04-11,1
T00650,C152,P009,2025-04-11,1
T00651,C292,P027,2025-05-06,1
T00652,C256,P018,2025-12-02,1
T00653,C484,P022,2025-06-22,1
T00653,C484,P024,2025-06-22,1
T00654,C495,P024,2025-11-25,1
T00655,C379,P016,2025-08-24,1
T00655,C379,P018,2025-08-24,1
T00656,C087,P005,2025-10-07,1
T00657,C470,P029,2025-10-05,1
T00658,C491,P002,2025-09-26,1
T00659,C018,P027,2025-02-08,1
T00660,C484,P027,2025-12-09,1
T00661,C025,P025,2025-01-04,1
T00662,C432,P021,2025-04-29,1
T00663,C035,P023,2025-03-19,1
T00664,C005,P007,2025-09-16,1
T00665,C234,P012,2025-01-31,1
T00666,C317,P021,2025-12-08,1
T00667,C479,P020,2025-09-05,1
T00668,C338,P016,2025-01-09,1
T00668,C338,P018,2025-01-09,1
T00669,C007,P001,2025-09-29,1
T00670,C275,P010,2025-01-09,1
