customer_id,age_segment,total_orders,average_order_value
C276,18-24,7,1406.85
C277,55+,7,14487.97
C278,55+,5,3418.16
C279,18-24,4,2092.23
C280,35-44,9,1216.26
C281,25-34,7,1577.36
C282,18-24,10,1172.55
C283,25-34,3,5331.48
C284,55+,8,1804.72
C285,45-54,6,3704.02
C286,55+,5,1933.44
C287,45-54,5,3727.57
C288,45-54,5,1470.04
C289,25-34,5,15820.92
C290,18-24,7,1300.69
C291,45-54,6,793.08
C292,25-34,4,7647.08
C293,55+,6,2924.74
C294,18-24,6,12989.52
C295,25-34,8,1568.33
C296,45-54,5,2004.08
C297,45-54,7,13365.18
C298,55+,6,14282.32
C299,55+,5,3090.64
C300,45-54,9,12086.63
C301,55+,9,2976.77
C302,55+,2,3205.57
C303,25-34,7,16277.81
C304,45-54,8,5308.22
C305,35-44,1,1450.51
C306,35-44,2,10930.59
C307,45-54,9,18328.33
C308,25-34,2,4784.6
C309,45-54,5,1033.6
C310,35-44,6,1471.42
C311,35-44,4,3593.54
C312,35-44,10,7851.4
C313,18-24,6,1722.49
C314,25-34,3,1824.9
C315,45-54,8,12554.7
C316,25-34,9,8841.1
C317,25-34,7,1236.69
C318,45-54,8,3606.24
C319,35-44,5,11140.82
C320,45-54,9,4327.42
C321,18-24,5,1362.64
C322,45-54,2,5964.7
C323,55+,9,9422.74
C324,18-24,6,15586.01
C325,45-54,5,3808.29
C326,18-24,5,3308.38
C327,35-44,11,3528.14
C328,45-54,9,10807.41
C329,55+,10,14710.35
C330,25-34,7,4060.61
C331,25-34,5,2310.94
C332,45-54,11,3280.68
C333,18-24,8,3970.57
C334,35-44,7,18835.0
C335,45-54,1,13605.42
C336,25-34,9,4759.39
C337,25-34,11,10530.15
C338,55+,6,1687.44
C339,45-54,8,6885.91
C340,55+,9,10732.38
C341,18-24,7,1696.72
C342,45-54,7,2180.82
C343,45-54,8,947.56
C344,18-24,5,5385.15
C345,45-54,6,4368.48
C346,25-34,5,3820.49
C347,35-44,3,4994.98
C348,45-54,3,3837.47
C349,45-54,8,2623.27
C350,18-24,6,3535.78
C351,18-24,7,12516.05
C352,55+,6,1076.27
C353,35-44,3,1332.89
C354,18-24,1,14826.71
C355,18-24,4,1794.95
C356,25-34,7,1956.45
C357,18-24,6,17646.88
C358,25-34,5,1503.97
C359,25-34,11,4426.12
C360,18-24,6,11450.43
C361,25-34,7,3326.38
C362,35-44,4,3766.63
C363,25-34,11,13214.74
C364,55+,6,11872.99
C365,18-24,7,1614.28
C366,35-44,5,1073.31
C367,55+,6,1842.58
C368,35-44,2,17290.67
C369,45-54,4,4597.73
C370,25-34,5,2019.99
C371,55+,9,13051.03
C372,25-34,8,1619.14
C373,35-44,4,9080.65
C374,55+,7,749.02
C375,55+,8,1739.06
C376,35-44,7,10242.55
C377,45-54,9,13189.89
C378,35-44,3,974.46
C379,55+,2,14211.87
C380,35-44,9,1436.55
C381,45-54,7,4615.7
C382,18-24,7,3434.83
C383,35-44,8,10898.31
C384,45-54,9,6491.48
C385,25-34,7,3745.16
C386,25-34,4,10987.42
C387,55+,10,18708.9
C388,35-44,7,16153.42
C389,55+,11,4635.38
C390,45-54,7,4357.42
C391,55+,5,5757.58
C392,35-44,2,1070.59
C393,18-24,4,4360.68
C394,45-54,5,1513.65
C395,45-54,6,11608.62
C396,55+,7,10814.08
C397,45-54,5,5126.3
C398,18-24,2,4773.25
C399,35-44,5,995.34
C400,45-54,9,2295.92
C401,35-44,9,3918.33
C402,35-44,8,4543.38
C403,55+,10,11431.81
C404,35-44,9,7538.3
C405,18-24,13,19348.38
C406,25-34,6,1029.48
C407,25-34,2,8904.8
C408,45-54,2,5113.36
C409,55+,6,1164.42
C410,45-54,9,13226.0
C411,45-54,11,4177.78
C412,18-24,5,1521.63
C413,35-44,4,1428.34
C414,45-54,11,8195.96
C415,25-34,6,4834.23
C416,55+,7,5643.69
C417,45-54,7,5954.38
C418,55+,8,2748.59
C419,45-54,6,13629.89
C420,55+,3,2782.08
C421,35-44,6,14553.21
C422,45-54,5,5500.57
C423,35-44,7,3460.01
C424,25-34,5,1063.21
C425,25-34,5,4746.92
C426,18-24,6,17869.25
C427,55+,13,11349.73
C428,25-34,9,1591.88
C429,25-34,7,12406.21
C430,45-54,6,2331.56
C431,55+,4,12426.28
C432,55+,4,4574.7
C433,18-24,11,1012.76
C434,35-44,10,1761.4
C435,35-44,8,2264.96
C436,35-44,9,1845.66
C437,55+,5,1983.38
C438,35-44,6,2181.13
C439,18-24,8,10714.5
C440,35-44,8,9538.6
C441,25-34,6,12792.89
C442,45-54,3,1790.08
C443,18-24,10,11566.59
C444,35-44,8,3052.95
C445,45-54,7,3087.61
C446,35-44,7,1575.39
C447,18-24,3,4174.46
C448,45-54,11,1165.48
C449,18-24,4,4023.33
C450,45-54,7,1312.96
C451,55+,5,10678.21
C452,18-24,7,1916.25
C453,25-34,2,11573.98
C454,35-44,9,1196.46
C455,25-34,5,1794.9
C456,55+,6,2908.39
C457,55+,6,10685.22
C458,55+,6,1284.74
C459,55+,4,3498.03
C460,45-54,4,3736.75
C461,35-44,4,12762.77
C462,45-54,6,3627.91
C463,55+,9,8784.43
C464,18-24,8,11480.16
C465,18-24,4,1574.72
C466,25-34,7,2944.91
C467,18-24,5,1138.04
C468,25-34,3,1112.76
C469,55+,4,1223.45
C470,25-34,4,1918.05
C471,45-54,4,2599.08
C472,55+,3,4060.44
C473,35-44,3,923.26
C474,25-34,9,4857.33
C475,35-44,7,13158.92
C476,45-54,7,1344.84
C477,25-34,5,3045.96
C478,55+,3,12330.78
C479,25-34,2,4245.9
C480,18-24,5,3140.77
C481,25-34,8,6989.98
C482,25-34,4,3468.34
C483,25-34,8,1291.85
C484,18-24,6,1391.42
C485,35-44,1,8981.19
C486,55+,4,3656.02
C487,45-54,5,1646.87
C488,45-54,2,8296.22
C489,35-44,13,11828.73
C490,45-54,11,3802.28
C491,55+,6,11330.52
C492,45-54,2,4543.61
C493,18-24,8,14047.91
C494,18-24,4,3685.34
C495,35-44,3,15996.57
C496,35-44,6,1590.64
C497,18-24,4,714.92
C498,55+,9,10816.12
C499,18-24,7,9737.38
C500,35-44,6,15144.63
